iter	Passed	Remaining
0	140	140653
1	142	70916
2	143	47628
3	144	35914
4	145	28918
5	146	24248
6	147	20894
7	148	18378
8	149	16423
9	150	14871
10	151	13609
11	152	12593
12	154	11696
13	155	10918
14	155	10236
15	156	9637
16	157	9111
17	158	8656
18	159	8256
19	161	7896
20	162	7563
21	163	7260
22	164	6977
23	165	6714
24	166	6475
25	167	6262
26	168	6061
27	169	5873
28	170	5702
29	171	5546
30	172	5392
31	173	5249
32	174	5120
33	175	4993
34	176	4877
35	178	4769
36	179	4668
37	180	4573
38	181	4483
39	183	4395
40	184	4309
41	185	4226
42	186	4149
43	187	4080
44	189	4015
45	190	3950
46	191	3884
47	192	3819
48	193	3760
49	194	3704
50	196	3648
51	197	3592
52	198	3540
53	199	3491
54	200	3441
55	201	3392
56	202	3352
57	203	3309
58	204	3267
59	205	3226
60	206	3185
61	208	3147
62	209	3112
63	210	3081
64	212	3051
65	213	3016
66	214	2985
67	215	2955
68	216	2927
69	218	2897
70	219	2873
71	221	2850
72	222	2828
73	224	2810
74	226	2788
75	227	2763
76	228	2737
77	229	2712
78	230	2688
79	231	2667
80	233	2648
81	234	2626
82	235	2603
83	237	2587
84	238	2570
85	240	2554
86	241	2534
87	242	2512
88	243	2492
89	244	2472
90	246	2457
91	247	2440
92	248	2424
93	249	2405
94	250	2386
95	251	2371
96	253	2356
97	254	2341
98	255	2327
99	257	2313
100	258	2299
101	260	2289
102	261	2279
103	263	2267
104	264	2256
105	266	2244
106	267	2229
107	268	2218
108	269	2206
109	270	2192
110	271	2177
111	272	2164
112	274	2153
113	275	2143
114	276	2131
115	278	2119
116	279	2106
117	280	2094
118	281	2085
119	283	2076
120	284	2067
121	285	2055
122	287	2048
123	288	2038
124	289	2028
125	291	2019
126	291	2006
127	293	1996
128	294	1985
129	295	1975
130	296	1966
131	297	1958
132	299	1949
133	300	1939
134	301	1931
135	302	1922
136	303	1914
137	305	1906
138	306	1897
139	307	1888
140	308	1880
141	309	1870
142	310	1863
143	312	1856
144	313	1848
145	314	1840
146	315	1832
147	316	1824
148	318	1817
149	319	1810
150	320	1802
151	321	1795
152	323	1791
153	324	1783
154	326	1777
155	327	1770
156	328	1762
157	329	1756
158	330	1749
159	331	1742
160	332	1734
161	334	1727
162	335	1721
163	336	1714
164	337	1708
165	338	1702
166	339	1695
167	341	1689
168	343	1686
169	344	1681
170	345	1675
171	346	1668
172	348	1664
173	349	1657
174	350	1651
175	351	1645
176	352	1639
177	353	1634
178	355	1629
179	356	1624
180	357	1619
181	359	1615
182	360	1611
183	362	1606
184	363	1603
185	365	1598
186	366	1592
187	367	1586
188	368	1581
189	370	1578
190	371	1574
191	372	1569
192	374	1565
193	375	1560
194	377	1557
195	378	1553
196	379	1548
197	381	1543
198	382	1539
199	383	1535
200	385	1533
201	387	1529
202	388	1524
203	389	1519
204	390	1514
205	391	1509
206	392	1504
207	393	1499
208	394	1493
209	395	1488
210	396	1483
211	397	1479
212	399	1475
213	400	1471
214	401	1467
215	403	1463
216	404	1459
217	405	1454
218	406	1451
219	407	1446
220	409	1441
221	410	1437
222	411	1433
223	412	1429
224	413	1425
225	414	1421
226	416	1416
227	417	1412
228	418	1408
229	419	1405
230	421	1401
231	422	1398
232	423	1393
233	424	1389
234	425	1384
235	426	1381
236	427	1376
237	428	1372
238	429	1367
239	430	1363
240	431	1358
241	432	1355
242	433	1351
243	435	1348
244	436	1345
245	437	1342
246	439	1338
